Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Bubulcus ibis,Cattle Egret,0.2854,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
15.0,18.0,Threskiornis melanocephalus,Black-headed Ibis,0.3946,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
33.0,36.0,Aplonis panayensis,Asian Glossy Starling,0.6433,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
39.0,42.0,Bubulcus ibis,Cattle Egret,0.6790,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
54.0,57.0,Aplonis panayensis,Asian Glossy Starling,0.2504,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
75.0,78.0,Ardea purpurea,Purple Heron,0.4384,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
75.0,78.0,Bubulcus ibis,Cattle Egret,0.2542,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
78.0,81.0,Bubulcus ibis,Cattle Egret,0.3252,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
81.0,84.0,Anastomus oscitans,Asian Openbill,0.2526,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
84.0,87.0,Mycteria leucocephala,Painted Stork,0.3056,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
87.0,90.0,Aplonis panayensis,Asian Glossy Starling,0.2847,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
93.0,96.0,Ardea purpurea,Purple Heron,0.6275,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
111.0,114.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.2892,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
120.0,123.0,Bubulcus ibis,Cattle Egret,0.3182,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
123.0,126.0,Aplonis panayensis,Asian Glossy Starling,0.2999,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
159.0,162.0,Bubulcus ibis,Cattle Egret,0.6257,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
165.0,168.0,Bubulcus ibis,Cattle Egret,0.5770,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
165.0,168.0,Ardea alba,Great Egret,0.2874,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
207.0,210.0,Bubulcus ibis,Cattle Egret,0.2547,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
216.0,219.0,Ardea purpurea,Purple Heron,0.3119,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
216.0,219.0,Bubulcus ibis,Cattle Egret,0.2841,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
219.0,222.0,Ardea purpurea,Purple Heron,0.2671,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
222.0,225.0,Bubulcus ibis,Cattle Egret,0.2902,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
228.0,231.0,Bubulcus ibis,Cattle Egret,0.3422,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
243.0,246.0,Ardea purpurea,Purple Heron,0.3253,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
249.0,252.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.3323,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
270.0,273.0,Bubulcus ibis,Cattle Egret,0.3139,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
279.0,282.0,Threskiornis melanocephalus,Black-headed Ibis,0.3862,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
279.0,282.0,Bubulcus ibis,Cattle Egret,0.3755,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
285.0,288.0,Bubulcus ibis,Cattle Egret,0.7705,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
291.0,294.0,Bubulcus ibis,Cattle Egret,0.6017,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
297.0,300.0,Bubulcus ibis,Cattle Egret,0.6095,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
300.0,303.0,Bubulcus ibis,Cattle Egret,0.4497,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
303.0,306.0,Bubulcus ibis,Cattle Egret,0.7082,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
321.0,324.0,Bubulcus ibis,Cattle Egret,0.4861,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
324.0,327.0,Bubulcus ibis,Cattle Egret,0.3947,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
324.0,327.0,Threskiornis melanocephalus,Black-headed Ibis,0.2524,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
327.0,330.0,Bubulcus ibis,Cattle Egret,0.3732,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
330.0,333.0,Bubulcus ibis,Cattle Egret,0.9034,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
339.0,342.0,Bubulcus ibis,Cattle Egret,0.3122,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
348.0,351.0,Mycteria leucocephala,Painted Stork,0.4848,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
351.0,354.0,Mycteria leucocephala,Painted Stork,0.6204,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
360.0,363.0,Threskiornis melanocephalus,Black-headed Ibis,0.5718,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
363.0,366.0,Bubulcus ibis,Cattle Egret,0.8702,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
384.0,387.0,Threskiornis melanocephalus,Black-headed Ibis,0.6474,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
384.0,387.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.3217,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
387.0,390.0,Bubulcus ibis,Cattle Egret,0.7444,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
390.0,393.0,Bubulcus ibis,Cattle Egret,0.6037,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
390.0,393.0,Ardea intermedia,Intermediate Egret,0.5708,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
435.0,438.0,Bubulcus ibis,Cattle Egret,0.3088,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
441.0,444.0,Bubulcus ibis,Cattle Egret,0.7727,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
444.0,447.0,Ardea purpurea,Purple Heron,0.4634,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
453.0,456.0,Pelargopsis capensis,Stork-billed Kingfisher,0.6313,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
456.0,459.0,Pelargopsis capensis,Stork-billed Kingfisher,0.6515,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
462.0,465.0,Bubulcus ibis,Cattle Egret,0.4361,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
462.0,465.0,Threskiornis melanocephalus,Black-headed Ibis,0.3869,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
465.0,468.0,Bubulcus ibis,Cattle Egret,0.3634,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
465.0,468.0,Pelargopsis capensis,Stork-billed Kingfisher,0.3562,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
468.0,471.0,Bubulcus ibis,Cattle Egret,0.5834,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
468.0,471.0,Threskiornis melanocephalus,Black-headed Ibis,0.2590,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
480.0,483.0,Bubulcus ibis,Cattle Egret,0.3467,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
483.0,486.0,Bubulcus ibis,Cattle Egret,0.2871,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
486.0,489.0,Bubulcus ibis,Cattle Egret,0.3851,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
492.0,495.0,Bubulcus ibis,Cattle Egret,0.3177,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
498.0,501.0,Bubulcus ibis,Cattle Egret,0.3794,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
537.0,540.0,Threskiornis melanocephalus,Black-headed Ibis,0.3369,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
540.0,543.0,Threskiornis melanocephalus,Black-headed Ibis,0.4130,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
543.0,546.0,Bubulcus ibis,Cattle Egret,0.7290,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
546.0,549.0,Bubulcus ibis,Cattle Egret,0.5584,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
546.0,549.0,Threskiornis melanocephalus,Black-headed Ibis,0.3093,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
546.0,549.0,Ardea purpurea,Purple Heron,0.2951,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
558.0,561.0,Bubulcus ibis,Cattle Egret,0.8060,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
561.0,564.0,Bubulcus ibis,Cattle Egret,0.6564,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
